Window,Date,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
274,2017-10-02,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03087498053556992,0.15,0.0,0.15,0.0,0.0,0.0,0.02785578270614376,0.0,0.0,0.15,0.0,0.0,0.15,0.04126923675828628,0.0,0.0,0.0
275,2017-10-31,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020687254923099026,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.07931274507690095,0.0,0.0,0.0
276,2017-11-30,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03407565911468115,0.15,0.0,0.15,0.0,0.0,0.0,0.06592434088531883,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0
277,2018-01-02,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032704465157488614,0.15,0.0,0.15,0.0,0.0,0.0,0.06729553484251136,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0
278,2018-02-01,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01180077061098441,0.15,0.0,0.15,0.0,0.0,0.0,0.08819922938901556,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0
279,2018-03-05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04848671963410886,0.0,0.01953824675479286,0.03197503361109826,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.15,0.0,0.0
280,2018-04-04,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03189908854282544,0.0,0.03311429064506512,0.03498662081210942,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.15,0.0,0.0
281,2018-05-03,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059221902017291064,0.04077809798270891,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.15,0.0,0.0
282,2018-06-04,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05922190201729113,0.04077809798270883,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.15,0.0,0.0
283,2018-07-03,0.15,0.0,0.0,0.0,0.0,0.0,0.06960482123276375,0.0,0.0,0.0,0.0,0.013086141546006787,0.01730903722122944,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.15,0.0,0.0
